# z	ratio	Geff/GN	alpha_B
7.270541082164329039e-01 1.005531255817669667e+00 1.011093106426259824e+00 1.583308246958685384e-01
7.299599198396793387e-01 1.005512122255573626e+00 1.011054628002907574e+00 1.582858669837541032e-01
7.328657314629258845e-01 1.005492934643082092e+00 1.011016041617157413e+00 1.582407862545920918e-01
7.357715430861724304e-01 1.005473695276558388e+00 1.010977351893097342e+00 1.581955879360696371e-01
7.386773547094188652e-01 1.005454406397042977e+00 1.010938563343229957e+00 1.581502773240916482e-01
7.415831663326654111e-01 1.005435070011795107e+00 1.010899680009623269e+00 1.581048591636713685e-01
7.444889779559118459e-01 1.005415688341386282e+00 1.010860706362983530e+00 1.580593386991774874e-01
7.473947895791583917e-01 1.005396263553975711e+00 1.010821646768295334e+00 1.580137210500946743e-01
7.503006012024048266e-01 1.005376797779471421e+00 1.010782505513304175e+00 1.579680112443215545e-01
7.532064128256513724e-01 1.005357293111802663e+00 1.010743286813091002e+00 1.579222142235343074e-01
7.561122244488978072e-01 1.005337751609700181e+00 1.010703994811647188e+00 1.578763348450513693e-01
7.590180360721443531e-01 1.005318175297312377e+00 1.010664633583117755e+00 1.578303778833057003e-01
7.619238476953907879e-01 1.005298566164793517e+00 1.010625207132989756e+00 1.577843480312583480e-01
7.648296593186373338e-01 1.005278926168875042e+00 1.010585719399246463e+00 1.577382499017651041e-01
7.677354709418837686e-01 1.005259257233433567e+00 1.010546174253514451e+00 1.576920880289421345e-01
7.706412825651303145e-01 1.005239561250040436e+00 1.010506575502173821e+00 1.576458668694820098e-01
7.735470941883767493e-01 1.005219840078506399e+00 1.010466926887457983e+00 1.575995908039621585e-01
7.764529058116232951e-01 1.005200095547415629e+00 1.010427232088533467e+00 1.575532641381268695e-01
7.793587174348697300e-01 1.005180329454651300e+00 1.010387494722561286e+00 1.575068911041498376e-01
7.822645290581162758e-01 1.005160543567910736e+00 1.010347718345737666e+00 1.574604758618705913e-01
7.851703406813627106e-01 1.005140739625211665e+00 1.010307906454317450e+00 1.574140225000102977e-01
7.880761523046092565e-01 1.005120919335386054e+00 1.010268062485611740e+00 1.573675350373612558e-01
7.909819639278556913e-01 1.005101084378568821e+00 1.010228189818974887e+00 1.573210174239572656e-01
7.938877755511022372e-01 1.005081236406668577e+00 1.010188291776757508e+00 1.572744735422113016e-01
7.967935871743487830e-01 1.005061377043848125e+00 1.010148371625276154e+00 1.572279072080648987e-01
7.996993987975952178e-01 1.005041507886982766e+00 1.010108432575740123e+00 1.571813221720953779e-01
8.026052104208417637e-01 1.005021630506115704e+00 1.010068477785171392e+00 1.571347221206072786e-01
8.055110220440881985e-01 1.005001746444904809e+00 1.010028510357308784e+00 1.570881106767116620e-01
8.084168336673347444e-01 1.004981857221046493e+00 1.009988533343463946e+00 1.570414914013434360e-01
8.113226452905811792e-01 1.004961964326714918e+00 1.009948549743409529e+00 1.569948677943196480e-01
8.142284569138277250e-01 1.004942069228984325e+00 1.009908562506232732e+00 1.569482432953563378e-01
8.171342685370741599e-01 1.004922173370249583e+00 1.009868574531185947e+00 1.569016212850807002e-01
8.200400801603207057e-01 1.004902278168624985e+00 1.009828588668492566e+00 1.568550050859924549e-01
