# z	phi_prime_sq	E2	dE2_dz
8.138927785557112382e-02 -1.181452333108392871e-01 1.065749414039039999e+00 9.057766696374256465e-01
8.198919783956791496e-02 -1.177637124096547749e-01 1.066293242946274811e+00 9.072281684606712249e-01
8.258911782356471998e-02 -1.173832311483161139e-01 1.066837942693686259e+00 9.086798574960003316e-01
8.318903780756151112e-02 -1.170037870868359670e-01 1.067383513395568695e+00 9.101317373531917498e-01
8.378895779155831613e-02 -1.166253777898288019e-01 1.067929955166583067e+00 9.115838086412570984e-01
8.438887777555512115e-02 -1.162480008265062009e-01 1.068477268121754920e+00 9.130360719684423865e-01
8.498879775955191229e-02 -1.158716537706702687e-01 1.069025452376474616e+00 9.144885279422294566e-01
8.558871774354871731e-02 -1.154963342007079702e-01 1.069574508046497119e+00 9.159411771693366511e-01
8.618863772754550845e-02 -1.151220396995863843e-01 1.070124435247940431e+00 9.173940202557179235e-01
8.678855771154231347e-02 -1.147487678548458068e-01 1.070675234097286044e+00 9.188470578065666139e-01
8.738847769553911848e-02 -1.143765162585940881e-01 1.071226904711378491e+00 9.203002904263152262e-01
8.798839767953590962e-02 -1.140052825075018872e-01 1.071779447207424907e+00 9.217537187186357617e-01
8.858831766353271464e-02 -1.136350642027959268e-01 1.072332861702993911e+00 9.232073432864411622e-01
8.918823764752950578e-02 -1.132658589502541641e-01 1.072887148316015393e+00 9.246611647318860872e-01
8.978815763152631080e-02 -1.128976643601993513e-01 1.073442307164781173e+00 9.261151836563676909e-01
9.038807761552310194e-02 -1.125304780474932348e-01 1.073998338367942562e+00 9.275694006605275099e-01
9.098799759951990695e-02 -1.121642976315322254e-01 1.074555242044512138e+00 9.290238163442505748e-01
9.158791758351671197e-02 -1.117991207362399875e-01 1.075113018313861080e+00 9.304784313066685186e-01
9.218783756751350311e-02 -1.114349449900627620e-01 1.075671667295720058e+00 9.319332461461571349e-01
9.278775755151030813e-02 -1.110717680259634133e-01 1.076231189110178788e+00 9.333882614603424832e-01
9.338767753550709927e-02 -1.107095874814158637e-01 1.076791583877685143e+00 9.348434778460964489e-01
9.398759751950390429e-02 -1.103484009983994596e-01 1.077352851719044713e+00 9.362988958995406286e-01
9.458751750350070930e-02 -1.099882062233931840e-01 1.077914992755420798e+00 9.377545162160465519e-01
9.518743748749750044e-02 -1.096290008073696753e-01 1.078478007108333525e+00 9.392103393902372366e-01
9.578735747149430546e-02 -1.092707824057905508e-01 1.079041894899658960e+00 9.406663660159864104e-01
9.638727745549109660e-02 -1.089135486785995088e-01 1.079606656251630215e+00 9.421225966864215096e-01
9.698719743948790162e-02 -1.085572972902177080e-01 1.080172291286835229e+00 9.435790319939227899e-01
9.758711742348470664e-02 -1.082020259095377718e-01 1.080738800128217658e+00 9.450356725301254368e-01
9.818703740748149777e-02 -1.078477322099181124e-01 1.081306182899075097e+00 9.464925188859191207e-01
9.878695739147830279e-02 -1.074944138691769913e-01 1.081874439723060188e+00 9.479495716514508841e-01
9.938687737547509393e-02 -1.071420685695876063e-01 1.082443570724179072e+00 9.494068314161244748e-01
9.998679735947189895e-02 -1.067906939978720132e-01 1.083013576026791380e+00 9.508642987686016790e-01
1.005867173434687040e-01 -1.064402878451953249e-01 1.083584455755609577e+00 9.523219742968029866e-01
1.011866373274654951e-01 -1.060908478071606875e-01 1.084156210035698287e+00 9.537798585879092572e-01
1.017865573114623001e-01 -1.057423715838031880e-01 1.084728838992474742e+00 9.552379522283618307e-01
1.023864772954590913e-01 -1.053948568795841367e-01 1.085302342751707672e+00 9.566962558038635267e-01
1.029863972794558963e-01 -1.050483014033863627e-01 1.085876721439516412e+00 9.581547698993800877e-01
1.035863172634527013e-01 -1.047027028685071359e-01 1.086451975182372021e+00 9.596134950991406232e-01
1.041862372474494924e-01 -1.043580589926545177e-01 1.087028104107094606e+00 9.610724319866372767e-01
1.047861572314462975e-01 -1.040143674979395194e-01 1.087605108340854665e+00 9.625315811446294445e-01
1.053860772154430886e-01 -1.036716261108724946e-01 1.088182988011172636e+00 9.639909431551410002e-01
1.059859971994398936e-01 -1.033298325623564495e-01 1.088761743245917124e+00 9.654505185994632921e-01
1.065859171834366848e-01 -1.029889845876813259e-01 1.089341374173305788e+00 9.669103080581562537e-01
1.071858371674334898e-01 -1.026490799265198928e-01 1.089921880921903341e+00 9.683703121110469603e-01
1.077857571514302948e-01 -1.023101163229199473e-01 1.090503263620623775e+00 9.698305313372335146e-01
1.083856771354270859e-01 -1.019720915253005955e-01 1.091085522398727026e+00 9.712909663150840478e-01
1.089855971194238909e-01 -1.016350032864459657e-01 1.091668657385819863e+00 9.727516176222379407e-01
1.095855171034206821e-01 -1.012988493634996018e-01 1.092252668711855890e+00 9.742124858356066008e-01
1.101854370874174871e-01 -1.009636275179588566e-01 1.092837556507134655e+00 9.756735715313754609e-01
1.107853570714142921e-01 -1.006293355156697572e-01 1.093423320902300322e+00 9.771348752850025354e-01
1.113852770554110833e-01 -1.002959711268211901e-01 1.094009962028342775e+00 9.785963976712215295e-01
1.119851970394078883e-01 -9.996353212593916959e-02 1.094597480016596069e+00 9.800581392640421718e-01
1.125851170234046794e-01 -9.963201629188109254e-02 1.095185874998739095e+00 9.815201006367506587e-01
1.131850370074014844e-01 -9.930142140783121407e-02 1.095775147106793801e+00 9.829822823619103200e-01
1.137849569913982894e-01 -9.897174526129413896e-02 1.096365296473125639e+00 9.844446850113632852e-01
1.143848769753950806e-01 -9.864298564408988113e-02 1.096956323230442454e+00 9.859073091562302604e-01
1.149847969593918856e-01 -9.831514035234745208e-02 1.097548227511795371e+00 9.873701553669131936e-01
1.155847169433886767e-01 -9.798820718650035066e-02 1.098141009450577021e+00 9.888332242130943861e-01
1.161846369273854818e-01 -9.766218395128069274e-02 1.098734669180521317e+00 9.902965162637369367e-01
