# phi[M_Pl]	V[H0^2*Mpl^2]	V[GeV^4]	V[eV^4]
2.716181949790050232e-03 1.984749564700486246e+00 5.885181891688465421e-43 5.885181891688465685e-07
2.730927994395240810e-03 1.984732914132551596e+00 5.885132519403599799e-43 5.885132519403600509e-07
2.745694561994638239e-03 1.984716303156479178e+00 5.885083264516573349e-43 5.885083264516573262e-07
2.760481574940840122e-03 1.984699731741794704e+00 5.885034126937024306e-43 5.885034126937024588e-07
2.775288955990592998e-03 1.984683199858039426e+00 5.884985106574635510e-43 5.884985106574635363e-07
2.790116628301225754e-03 1.984666707474779468e+00 5.884936203339165471e-43 5.884936203339165873e-07
2.804964515427124661e-03 1.984650254561592053e+00 5.884887417140403769e-43 5.884887417140403934e-07
2.819832541316291685e-03 1.984633841088078832e+00 5.884838747888212466e-43 5.884838747888212533e-07
2.834720630306958311e-03 1.984617467023857884e+00 5.884790195492504604e-43 5.884790195492504424e-07
2.849628707124143845e-03 1.984601132338565055e+00 5.884741759863244205e-43 5.884741759863244238e-07
2.864556696876352504e-03 1.984584837001852620e+00 5.884693440910442285e-43 5.884693440910442138e-07
2.879504525052284380e-03 1.984568580983397279e+00 5.884645238544186330e-43 5.884645238544186634e-07
2.894472117517588039e-03 1.984552364252887724e+00 5.884597152674595687e-43 5.884597152674595883e-07
2.909459400511613114e-03 1.984536186780034406e+00 5.884549183211857411e-43 5.884549183211857925e-07
2.924466300644287808e-03 1.984520048534569092e+00 5.884501330066218296e-43 5.884501330066219029e-07
2.939492744892954756e-03 1.984503949486232433e+00 5.884453593147954609e-43 5.884453593147955114e-07
2.954538660599262401e-03 1.984487889604794830e+00 5.884405972367428645e-43 5.884405972367428918e-07
2.969603975466167389e-03 1.984471868860040455e+00 5.884358467635045710e-43 5.884358467635045531e-07
2.984688617554867585e-03 1.984455887221766801e+00 5.884311078861246957e-43 5.884311078861247100e-07
2.999792515281804461e-03 1.984439944659795341e+00 5.884263805956550006e-43 5.884263805956549889e-07
3.014915597415776527e-03 1.984424041143969308e+00 5.884216648831530625e-43 5.884216648831530512e-07
3.030057793074983352e-03 1.984408176644140376e+00 5.884169607396794852e-43 5.884169607396795229e-07
3.045219031724166747e-03 1.984392351130186860e+00 5.884122681563025989e-43 5.884122681563026534e-07
3.060399243171738060e-03 1.984376564572001289e+00 5.884075871240948757e-43 5.884075871240949271e-07
3.075598357567030372e-03 1.984360816939497507e+00 5.884029176341352400e-43 5.884029176341352871e-07
3.090816305397481312e-03 1.984345108202603569e+00 5.883982596775066784e-43 5.883982596775067001e-07
