# z	phi[M_Pl]	V[Mpl^4_nat]	V(z)_nat
2.937314631463145975e+00 9.227441926984614184e-02 1.985670714067276688e+00 2.107373757650282897e+00
2.937014701470146871e+00 9.226874530681705711e-02 1.985651962265682080e+00 2.107359561606024556e+00
2.936714771477147323e+00 9.226307081293465273e-02 1.985633251666395704e+00 2.107345364581686198e+00
2.936414841484148219e+00 9.225739578797649554e-02 1.985614582237967607e+00 2.107331166576496884e+00
2.936114911491148671e+00 9.225172023171999969e-02 1.985595953948963821e+00 2.107316967589650147e+00
2.935814981498149567e+00 9.224604414394252383e-02 1.985577366767973473e+00 2.107302767620311101e+00
2.935515051505150463e+00 9.224036752442126008e-02 1.985558820663597679e+00 2.107288566667691043e+00
2.935215121512150915e+00 9.223469037293331729e-02 1.985540315604467754e+00 2.107274364730955085e+00
2.934915191519151811e+00 9.222901268925569329e-02 1.985521851559221229e+00 2.107260161809314525e+00
2.934615261526152263e+00 9.222333447316527488e-02 1.985503428496527611e+00 2.107245957901959343e+00
2.934315331533153159e+00 9.221765572443882397e-02 1.985485046385064400e+00 2.107231753008079522e+00
2.934015401540153611e+00 9.221197644285299144e-02 1.985466705193532189e+00 2.107217547126861490e+00
2.933715471547154507e+00 9.220629662818433103e-02 1.985448404890653773e+00 2.107203340257509439e+00
2.933415541554154959e+00 9.220061628020925770e-02 1.985430145445161720e+00 2.107189132399184928e+00
2.933115611561155855e+00 9.219493539870411702e-02 1.985411926825821016e+00 2.107174923551134782e+00
2.932815681568156752e+00 9.218925398344510191e-02 1.985393749001404196e+00 2.107160713712485034e+00
2.932515751575157203e+00 9.218357203420828039e-02 1.985375611940708662e+00 2.107146502882457639e+00
2.932215821582158100e+00 9.217788955076969271e-02 1.985357515612545587e+00 2.107132291060235474e+00
2.931915891589158552e+00 9.217220653290514321e-02 1.985339459985752342e+00 2.107118078245015624e+00
2.931615961596159448e+00 9.216652298039043623e-02 1.985321445029177401e+00 2.107103864435995177e+00
2.931316031603159900e+00 9.216083889300119569e-02 1.985303470711692331e+00 2.107089649632364114e+00
2.931016101610160796e+00 9.215515427051296227e-02 1.985285537002189571e+00 2.107075433833301759e+00
2.930716171617161248e+00 9.214946911270113783e-02 1.985267643869575327e+00 2.107061217038005196e+00
2.930416241624162144e+00 9.214378341934105487e-02 1.985249791282778009e+00 2.107046999245657304e+00
2.930116311631163040e+00 9.213809719020787936e-02 1.985231979210743347e+00 2.107032780455469378e+00
2.929816381638163492e+00 9.213241042507669398e-02 1.985214207622438387e+00 2.107018560666610085e+00
2.929516451645164388e+00 9.212672312372247041e-02 1.985196476486847050e+00 2.107004339878294275e+00
2.929216521652164840e+00 9.212103528592006929e-02 1.985178785772967469e+00 2.106990118089683506e+00
2.928916591659165736e+00 9.211534691144422637e-02 1.985161135449827530e+00 2.106975895299967760e+00
